Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

J8         *MOLEX_47352-1001_47352-1001(Primary)     27.3422mm     10.3222mm     27.3672mm     10.0972mm     25.4272mm      6.4372mm  B        180.00 microSD        
J3         AUDIO-TH_PJ-320A     71.1391mm     52.0634mm     70.3758mm     52.0634mm     66.2064mm     54.2681mm  T        180.00 PJ-320A        
C40        SMD_C(0603)          66.007mm     47.1104mm      66.007mm     47.1104mm      66.007mm     46.3992mm  T         90.00 1uF            
C18        SMD_C(0402)         75.3796mm     47.3896mm     75.3796mm     47.3896mm     75.3796mm     47.8216mm  T        270.00 10pF           
C17        SMD_C(0402)         76.2432mm     47.3896mm     76.2432mm     47.3896mm     76.2432mm     47.8216mm  T        270.00 33pF           
C16        SMD_C(0402)           67.15mm     46.8052mm       67.15mm     46.8052mm       67.15mm     46.3732mm  T         90.00 10pF           
C15        SMD_C(0402)         68.0136mm     46.8052mm     68.0136mm     46.8052mm     68.0136mm     46.3732mm  T         90.00 33pF           
C13        SMD_C(0603)         70.5282mm      47.085mm     70.5282mm      47.085mm     70.5282mm     47.7962mm  T        270.00 10uF           
C12        SMD_C(0603)         69.1566mm      47.085mm     69.1566mm      47.085mm     69.1566mm     47.7962mm  T        270.00 10uF           
ANT2       Antenna_SMD_ANT1204F002R0433A      7.1628mm     72.7964mm      7.1628mm     72.7964mm     13.0128mm     72.7964mm  T        180.00 ACAG1204-868-T 
C1         Tantalum_C(E)       22.1896mm     30.8282mm     22.1896mm     30.8332mm     25.1896mm     30.8332mm  T        180.00 220uF/10V      
C2         SMD_C(0603)         60.9826mm     20.4638mm     60.9826mm     20.4638mm     60.2714mm     20.4638mm  T        360.00 10uF           
C3         SMD_C(0402)          61.262mm     21.6322mm      61.262mm     21.6322mm       60.83mm     21.6322mm  T        360.00 0.1uF          
C4         SMD_C(0603)         60.9826mm     18.9906mm     60.9826mm     18.9906mm     60.2714mm     18.9906mm  T        360.00 10uF           
C5         SMD_C(0402)          61.262mm     17.8476mm      61.262mm     17.8476mm      61.694mm     17.8476mm  T        180.00 0.1uF          
C6         Tantalum_C(E)       71.1884mm     16.2474mm     71.1934mm     16.2474mm     71.1934mm     13.2474mm  T         90.00 220uF/10V      
C7         SMD_C(0402)         71.2188mm      16.095mm     71.2188mm      16.095mm     71.2188mm      15.663mm  B         90.00 0.1uF          
C8         SMD_C(0603)         64.3862mm      7.6114mm     64.3862mm      7.6114mm     65.0974mm      7.6114mm  B        180.00 10uF           
C9         SMD_C(0402)         64.1068mm      8.8306mm     64.1068mm      8.8306mm     64.5388mm      8.8306mm  B        180.00 0.1uF          
C10        SMD_C(0402)         67.8914mm     12.0056mm     67.8914mm     12.0056mm     68.3234mm     12.0056mm  T        180.00 0.1uF          
C11        SMD_C(0603)          72.484mm     47.1104mm      72.484mm     47.1104mm      72.484mm     46.3992mm  T         90.00 4.7uF          
C14        SMD_C(0402)          74.516mm     47.3898mm      74.516mm     47.3898mm      74.516mm     47.8218mm  T        270.00 0.1uF          
C19        SMD_C(0402)          60.673mm     45.3578mm      60.673mm     45.3578mm      60.673mm     44.9258mm  T         90.00 0.1uF          
C20        SMD_C(0603)         58.6918mm     45.6372mm     58.6918mm     45.6372mm     58.6918mm     46.3484mm  T        270.00 4.7uF          
C26        SMD_C(0603)          78.486mm     42.4688mm      78.486mm     42.4688mm      78.486mm       43.18mm  T        270.00 1uF            
C27        SMD_C(0603)         72.0776mm     42.2402mm     72.0776mm     42.2402mm     72.0776mm     42.9514mm  T        270.00 10uF           
